UNIDAD;NEGOCIO;LINEA/PROCESO;Periodo Admon;FUENTE INFORMACIÓN;Suma de VALOR ANTES IVA
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;EDUCACION LEY 115;2022/10;Ejecutado;11180296,91
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;EDUCACION LEY 115;2022/11;Ejecutado;10322708
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;EDUCACION LEY 115;2022/12;Ejecutado;14836441
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;EXCEDENTES DEL 55;2022/01;Ejecutado;903948,0314
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;EXCEDENTES DEL 55;2022/02;Ejecutado;388511,6575
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;EXCEDENTES DEL 55;2022/03;Ejecutado;403917,9888
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;EXCEDENTES DEL 55;2022/04;Ejecutado;575615,4413
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;EXCEDENTES DEL 55;2022/05;Ejecutado;1002597,394
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;EXCEDENTES DEL 55;2022/06;Ejecutado;1047800,842
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;EXCEDENTES DEL 55;2022/07;Ejecutado;772336,7563
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;EXCEDENTES DEL 55;2022/08;Ejecutado;846448,4777
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;EXCEDENTES DEL 55;2022/09;Ejecutado;901349,853
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;EXCEDENTES DEL 55;2022/10;Ejecutado;636968,9932
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;EXCEDENTES DEL 55;2022/11;Ejecutado;582227
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;EXCEDENTES DEL 55;2022/12;Ejecutado;977640
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;FONIÑEZ;2022/01;Ejecutado;48944063,21
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;FONIÑEZ;2022/02;Ejecutado;41117808,23
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;FONIÑEZ;2022/03;Ejecutado;48068980,56
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;FONIÑEZ;2022/04;Ejecutado;59921611,06
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;FONIÑEZ;2022/05;Ejecutado;30660201,52
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;FONIÑEZ;2022/06;Ejecutado;37244718,84
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;FONIÑEZ;2022/07;Ejecutado;44233614,64
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;FONIÑEZ;2022/08;Ejecutado;37240374,71
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;FONIÑEZ;2022/09;Ejecutado;84962138,18
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;FONIÑEZ;2022/10;Ejecutado;20913376,91
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;FONIÑEZ;2022/11;Ejecutado;52665950
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;FONIÑEZ;2022/12;Ejecutado;66655028
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;FOSFEC;2022/01;Ejecutado;201580563,9
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;FOSFEC;2022/02;Ejecutado;155613400
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;FOSFEC;2022/03;Ejecutado;126359367,9
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;FOSFEC;2022/04;Ejecutado;129989430,9
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;FOSFEC;2022/05;Ejecutado;171490908,7
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;FOSFEC;2022/06;Ejecutado;243010154,2
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;FOSFEC;2022/07;Ejecutado;169661513,7
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;FOSFEC;2022/08;Ejecutado;150868113,5
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;FOSFEC;2022/09;Ejecutado;225855826,7
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;FOSFEC;2022/10;Ejecutado;129549145,9
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;FOSFEC;2022/11;Ejecutado;191445211
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;FOSFEC;2022/12;Ejecutado;275286363
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;FOVIS;2022/03;Ejecutado;197
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;FOVIS;2022/04;Ejecutado;-3,809072069
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;FOVIS;2022/07;Ejecutado;259
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;FOVIS;2022/08;Ejecutado;116,0935643
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;FOVIS;2022/09;Ejecutado;560,4436961
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;FOVIS;2022/10;Ejecutado;195,0018403
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;FOVIS;2022/11;Ejecutado;830
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;FOVIS;2022/12;Ejecutado;64
BIENESTAR Y DESARROLLO SOCIAL;PLATAFORMA DE BIENESTAR;LÍNEA DE SOLUCIÓN BIENESTAR A LA CARTA;2022/01;Ejecutado;4267683,804
BIENESTAR Y DESARROLLO SOCIAL;PLATAFORMA DE BIENESTAR;LÍNEA DE SOLUCIÓN BIENESTAR A LA CARTA;2022/02;Ejecutado;410940,7715
BIENESTAR Y DESARROLLO SOCIAL;PLATAFORMA DE BIENESTAR;LÍNEA DE SOLUCIÓN BIENESTAR A LA CARTA;2022/03;Ejecutado;376961,7315
BIENESTAR Y DESARROLLO SOCIAL;PLATAFORMA DE BIENESTAR;LÍNEA DE SOLUCIÓN BIENESTAR A LA CARTA;2022/04;Ejecutado;316498,4919
BIENESTAR Y DESARROLLO SOCIAL;PLATAFORMA DE BIENESTAR;LÍNEA DE SOLUCIÓN BIENESTAR A LA CARTA;2022/05;Ejecutado;362223,9715
BIENESTAR Y DESARROLLO SOCIAL;PLATAFORMA DE BIENESTAR;LÍNEA DE SOLUCIÓN BIENESTAR A LA CARTA;2022/06;Ejecutado;1211433,149
BIENESTAR Y DESARROLLO SOCIAL;PLATAFORMA DE BIENESTAR;LÍNEA DE SOLUCIÓN BIENESTAR A LA CARTA;2022/07;Ejecutado;1470745,928
BIENESTAR Y DESARROLLO SOCIAL;PLATAFORMA DE BIENESTAR;LÍNEA DE SOLUCIÓN BIENESTAR A LA CARTA;2022/08;Ejecutado;1372953,759
BIENESTAR Y DESARROLLO SOCIAL;PLATAFORMA DE BIENESTAR;LÍNEA DE SOLUCIÓN BIENESTAR A LA CARTA;2022/09;Ejecutado;1659899,261
BIENESTAR Y DESARROLLO SOCIAL;PLATAFORMA DE BIENESTAR;LÍNEA DE SOLUCIÓN BIENESTAR A LA CARTA;2022/10;Ejecutado;2231878,268
BIENESTAR Y DESARROLLO SOCIAL;PLATAFORMA DE BIENESTAR;LÍNEA DE SOLUCIÓN BIENESTAR A LA CARTA;2022/11;Ejecutado;1927852
BIENESTAR Y DESARROLLO SOCIAL;PLATAFORMA DE BIENESTAR;LÍNEA DE SOLUCIÓN BIENESTAR A LA CARTA;2022/12;Ejecutado;3029697
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMINISTRACIÓN DE RECURSOS;2022/01;Ejecutado;2440109,662
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMINISTRACIÓN DE RECURSOS;2022/02;Ejecutado;2543666,626
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMINISTRACIÓN DE RECURSOS;2022/03;Ejecutado;6270018,542
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMINISTRACIÓN DE RECURSOS;2022/04;Ejecutado;2537406,544
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMINISTRACIÓN DE RECURSOS;2022/05;Ejecutado;2488434,202
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMINISTRACIÓN DE RECURSOS;2022/06;Ejecutado;2404149,513
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMINISTRACIÓN DE RECURSOS;2022/07;Ejecutado;2921574,428
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMINISTRACIÓN DE RECURSOS;2022/08;Ejecutado;3207716,754
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMINISTRACIÓN DE RECURSOS;2022/09;Ejecutado;3338519,614
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMINISTRACIÓN DE RECURSOS;2022/10;Ejecutado;2322873,189
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMINISTRACIÓN DE RECURSOS;2022/11;Ejecutado;2292979
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMINISTRACIÓN DE RECURSOS;2022/12;Ejecutado;75179916
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMÓN CONVENIOS;2022/01;Ejecutado;2734390,263
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMÓN CONVENIOS;2022/02;Ejecutado;1963835,516
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMÓN CONVENIOS;2022/03;Ejecutado;2184360,555
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMÓN CONVENIOS;2022/04;Ejecutado;1737962,038
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMÓN CONVENIOS;2022/05;Ejecutado;2417043,374
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMÓN CONVENIOS;2022/06;Ejecutado;2005773,278
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMÓN CONVENIOS;2022/07;Ejecutado;1365142,262
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMÓN CONVENIOS;2022/08;Ejecutado;1501865,52
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMÓN CONVENIOS;2022/09;Ejecutado;1344639,964
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMÓN CONVENIOS;2022/10;Ejecutado;1199246,889
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMÓN CONVENIOS;2022/11;Ejecutado;932100
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMÓN CONVENIOS;2022/12;Ejecutado;2470869
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMON PROYECTOS SOCIALES;2022/01;Ejecutado;816432,2404
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMON PROYECTOS SOCIALES;2022/02;Ejecutado;49056,61938
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMON PROYECTOS SOCIALES;2022/03;Ejecutado;444424,9286
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMON PROYECTOS SOCIALES;2022/04;Ejecutado;304238,4393
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMON PROYECTOS SOCIALES;2022/05;Ejecutado;216289,1683
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMON PROYECTOS SOCIALES;2022/06;Ejecutado;558461,7376
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMON PROYECTOS SOCIALES;2022/07;Ejecutado;657802,8958
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMON PROYECTOS SOCIALES;2022/08;Ejecutado;653596,5715
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMON PROYECTOS SOCIALES;2022/09;Ejecutado;736225,4971
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMON PROYECTOS SOCIALES;2022/10;Ejecutado;729925,4343
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMON PROYECTOS SOCIALES;2022/11;Ejecutado;643580
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMON PROYECTOS SOCIALES;2022/12;Ejecutado;1423302
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMÓN RED;2022/01;Ejecutado;39433854,21
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMÓN RED;2022/02;Ejecutado;46807713,29
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMÓN RED;2022/03;Ejecutado;42485968,61
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMÓN RED;2022/04;Ejecutado;43757342,96
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMÓN RED;2022/05;Ejecutado;48752697,54
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMÓN RED;2022/06;Ejecutado;47581103,25
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMÓN RED;2022/07;Ejecutado;46121803,58
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMÓN RED;2022/08;Ejecutado;64989872,61
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMÓN RED;2022/09;Ejecutado;168866504,2
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMÓN RED;2022/10;Ejecutado;38198276,61
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMÓN RED;2022/11;Ejecutado;62021117
BIENESTAR Y DESARROLLO SOCIAL;RED;ADMÓN RED;2022/12;Ejecutado;134596095
BIENESTAR Y DESARROLLO SOCIAL;RED;CULTURA;2022/01;Ejecutado;323349,2218
BIENESTAR Y DESARROLLO SOCIAL;RED;CULTURA;2022/02;Ejecutado;141568,8937
BIENESTAR Y DESARROLLO SOCIAL;RED;CULTURA;2022/03;Ejecutado;36110,26881
BIENESTAR Y DESARROLLO SOCIAL;RED;CULTURA;2022/04;Ejecutado;341991,864
BIENESTAR Y DESARROLLO SOCIAL;RED;CULTURA;2022/05;Ejecutado;62552,4581
BIENESTAR Y DESARROLLO SOCIAL;RED;CULTURA;2022/06;Ejecutado;673330,5237
BIENESTAR Y DESARROLLO SOCIAL;RED;CULTURA;2022/07;Ejecutado;1182162,688
BIENESTAR Y DESARROLLO SOCIAL;RED;CULTURA;2022/08;Ejecutado;81024,07089
BIENESTAR Y DESARROLLO SOCIAL;RED;CULTURA;2022/09;Ejecutado;17842,3227
BIENESTAR Y DESARROLLO SOCIAL;RED;CULTURA;2022/10;Ejecutado;65855,97889
BIENESTAR Y DESARROLLO SOCIAL;RED;CULTURA;2022/11;Ejecutado;63732
BIENESTAR Y DESARROLLO SOCIAL;RED;CULTURA;2022/12;Ejecutado;217606
BIENESTAR Y DESARROLLO SOCIAL;RED;DEPORTES;2022/01;Ejecutado;65230917,52
BIENESTAR Y DESARROLLO SOCIAL;RED;DEPORTES;2022/02;Ejecutado;57749581,27
BIENESTAR Y DESARROLLO SOCIAL;RED;DEPORTES;2022/03;Ejecutado;172639779,1
BIENESTAR Y DESARROLLO SOCIAL;RED;DEPORTES;2022/04;Ejecutado;62451752,76
BIENESTAR Y DESARROLLO SOCIAL;RED;DEPORTES;2022/05;Ejecutado;143566907,7
BIENESTAR Y DESARROLLO SOCIAL;RED;DEPORTES;2022/06;Ejecutado;102182642,4
BIENESTAR Y DESARROLLO SOCIAL;RED;DEPORTES;2022/07;Ejecutado;88554461,49
BIENESTAR Y DESARROLLO SOCIAL;RED;DEPORTES;2022/08;Ejecutado;197356758,9
BIENESTAR Y DESARROLLO SOCIAL;RED;DEPORTES;2022/09;Ejecutado;114206740,8
BIENESTAR Y DESARROLLO SOCIAL;RED;DEPORTES;2022/10;Ejecutado;98184499,95
BIENESTAR Y DESARROLLO SOCIAL;RED;DEPORTES;2022/11;Ejecutado;593279124
BIENESTAR Y DESARROLLO SOCIAL;RED;DEPORTES;2022/12;Ejecutado;246681177
BIENESTAR Y DESARROLLO SOCIAL;RED;EDUCACIÓN;2022/01;Ejecutado;49839899,11
BIENESTAR Y DESARROLLO SOCIAL;RED;EDUCACIÓN;2022/02;Ejecutado;40476354,15
BIENESTAR Y DESARROLLO SOCIAL;RED;EDUCACIÓN;2022/03;Ejecutado;62082540,31
BIENESTAR Y DESARROLLO SOCIAL;RED;EDUCACIÓN;2022/04;Ejecutado;44808732,47
BIENESTAR Y DESARROLLO SOCIAL;RED;EDUCACIÓN;2022/05;Ejecutado;61110242,46
BIENESTAR Y DESARROLLO SOCIAL;RED;EDUCACIÓN;2022/06;Ejecutado;55574519,98
BIENESTAR Y DESARROLLO SOCIAL;RED;EDUCACIÓN;2022/07;Ejecutado;63201160,65
BIENESTAR Y DESARROLLO SOCIAL;RED;EDUCACIÓN;2022/08;Ejecutado;60004237,01
BIENESTAR Y DESARROLLO SOCIAL;RED;EDUCACIÓN;2022/09;Ejecutado;50022094,68
BIENESTAR Y DESARROLLO SOCIAL;RED;EDUCACIÓN;2022/10;Ejecutado;49097045,36
BIENESTAR Y DESARROLLO SOCIAL;RED;EDUCACIÓN;2022/11;Ejecutado;112064478
BIENESTAR Y DESARROLLO SOCIAL;RED;EDUCACIÓN;2022/12;Ejecutado;87876921
BIENESTAR Y DESARROLLO SOCIAL;RED;RECREACIÓN;2022/01;Ejecutado;22123257
BIENESTAR Y DESARROLLO SOCIAL;RED;RECREACIÓN;2022/02;Ejecutado;23935842,86
BIENESTAR Y DESARROLLO SOCIAL;RED;RECREACIÓN;2022/03;Ejecutado;35529972,64
BIENESTAR Y DESARROLLO SOCIAL;RED;RECREACIÓN;2022/04;Ejecutado;20527294,1
BIENESTAR Y DESARROLLO SOCIAL;RED;RECREACIÓN;2022/05;Ejecutado;34798202,79
BIENESTAR Y DESARROLLO SOCIAL;RED;RECREACIÓN;2022/06;Ejecutado;35095523,51
BIENESTAR Y DESARROLLO SOCIAL;RED;RECREACIÓN;2022/07;Ejecutado;184891733,3
BIENESTAR Y DESARROLLO SOCIAL;RED;RECREACIÓN;2022/08;Ejecutado;53817833,65
BIENESTAR Y DESARROLLO SOCIAL;RED;RECREACIÓN;2022/09;Ejecutado;35766059,71
BIENESTAR Y DESARROLLO SOCIAL;RED;RECREACIÓN;2022/10;Ejecutado;29617136,69
BIENESTAR Y DESARROLLO SOCIAL;RED;RECREACIÓN;2022/11;Ejecutado;105015123
BIENESTAR Y DESARROLLO SOCIAL;RED;RECREACIÓN;2022/12;Ejecutado;56741092
BIENESTAR Y DESARROLLO SOCIAL;VIVIENDA;SUBSIDIO;2022/01;Ejecutado;151296578,4
BIENESTAR Y DESARROLLO SOCIAL;VIVIENDA;SUBSIDIO;2022/02;Ejecutado;155008808,6
BIENESTAR Y DESARROLLO SOCIAL;VIVIENDA;SUBSIDIO;2022/03;Ejecutado;154724079,2
BIENESTAR Y DESARROLLO SOCIAL;VIVIENDA;SUBSIDIO;2022/04;Ejecutado;176527362,8
BIENESTAR Y DESARROLLO SOCIAL;VIVIENDA;SUBSIDIO;2022/05;Ejecutado;155503284,9
BIENESTAR Y DESARROLLO SOCIAL;VIVIENDA;SUBSIDIO;2022/06;Ejecutado;178594511,8
BIENESTAR Y DESARROLLO SOCIAL;VIVIENDA;SUBSIDIO;2022/07;Ejecutado;199803542,5
BIENESTAR Y DESARROLLO SOCIAL;VIVIENDA;SUBSIDIO;2022/08;Ejecutado;167167252,5
BIENESTAR Y DESARROLLO SOCIAL;VIVIENDA;SUBSIDIO;2022/09;Ejecutado;266572200,2
BIENESTAR Y DESARROLLO SOCIAL;VIVIENDA;SUBSIDIO;2022/10;Ejecutado;115784036,4
BIENESTAR Y DESARROLLO SOCIAL;VIVIENDA;SUBSIDIO;2022/11;Ejecutado;204240668
BIENESTAR Y DESARROLLO SOCIAL;VIVIENDA;SUBSIDIO;2022/12;Ejecutado;276684897
BIENESTAR Y DESARROLLO SOCIAL;VIVIENDA;VIVIENDA;2022/01;Ejecutado;36919549,21
BIENESTAR Y DESARROLLO SOCIAL;VIVIENDA;VIVIENDA;2022/02;Ejecutado;15358857,72
BIENESTAR Y DESARROLLO SOCIAL;VIVIENDA;VIVIENDA;2022/03;Ejecutado;18352570,37
BIENESTAR Y DESARROLLO SOCIAL;VIVIENDA;VIVIENDA;2022/04;Ejecutado;42908673,09
BIENESTAR Y DESARROLLO SOCIAL;VIVIENDA;VIVIENDA;2022/05;Ejecutado;9241430,688
BIENESTAR Y DESARROLLO SOCIAL;VIVIENDA;VIVIENDA;2022/06;Ejecutado;9933015,855
BIENESTAR Y DESARROLLO SOCIAL;VIVIENDA;VIVIENDA;2022/07;Ejecutado;34110668,44
BIENESTAR Y DESARROLLO SOCIAL;VIVIENDA;VIVIENDA;2022/08;Ejecutado;7178231,343
BIENESTAR Y DESARROLLO SOCIAL;VIVIENDA;VIVIENDA;2022/09;Ejecutado;8916599,832
BIENESTAR Y DESARROLLO SOCIAL;VIVIENDA;VIVIENDA;2022/10;Ejecutado;25636905,62
BIENESTAR Y DESARROLLO SOCIAL;VIVIENDA;VIVIENDA;2022/11;Ejecutado;9567572
BIENESTAR Y DESARROLLO SOCIAL;VIVIENDA;VIVIENDA;2022/12;Ejecutado;25339325
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;ADMNISTRACION UNIDAD CSC;2022/01;Ejecutado;5051976,739
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;ADMNISTRACION UNIDAD CSC;2022/02;Ejecutado;1006357,195
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;ADMNISTRACION UNIDAD CSC;2022/03;Ejecutado;1033077,474
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;ADMNISTRACION UNIDAD CSC;2022/04;Ejecutado;1087742,92
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;ADMNISTRACION UNIDAD CSC;2022/05;Ejecutado;1282605,149
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;ADMNISTRACION UNIDAD CSC;2022/06;Ejecutado;1719588,943
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;ADMNISTRACION UNIDAD CSC;2022/07;Ejecutado;1421610,027
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;ADMNISTRACION UNIDAD CSC;2022/08;Ejecutado;1280559,514
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;ADMNISTRACION UNIDAD CSC;2022/09;Ejecutado;743908,1286
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;ADMNISTRACION UNIDAD CSC;2022/10;Ejecutado;826855,3653
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;ADMNISTRACION UNIDAD CSC;2022/11;Ejecutado;701018
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;ADMNISTRACION UNIDAD CSC;2022/12;Ejecutado;1655896
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;ATENCION Y GESTION CSC;2022/01;Ejecutado;18709132
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;ATENCION Y GESTION CSC;2022/02;Ejecutado;19642589,2
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;ATENCION Y GESTION CSC;2022/03;Ejecutado;12829954,28
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;ATENCION Y GESTION CSC;2022/04;Ejecutado;15465448,61
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;ATENCION Y GESTION CSC;2022/05;Ejecutado;19882547,02
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;ATENCION Y GESTION CSC;2022/06;Ejecutado;27385511,37
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;ATENCION Y GESTION CSC;2022/07;Ejecutado;28777845,88
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;ATENCION Y GESTION CSC;2022/08;Ejecutado;15652656,95
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;ATENCION Y GESTION CSC;2022/09;Ejecutado;104350194,4
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;ATENCION Y GESTION CSC;2022/10;Ejecutado;20360935,12
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;ATENCION Y GESTION CSC;2022/11;Ejecutado;-11520504
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;ATENCION Y GESTION CSC;2022/12;Ejecutado;378732628
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;COMPRAS Y ABASTECIMIENTO;2022/01;Ejecutado;81265315,08
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;COMPRAS Y ABASTECIMIENTO;2022/02;Ejecutado;72114168,03
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;COMPRAS Y ABASTECIMIENTO;2022/03;Ejecutado;70057635,77
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;COMPRAS Y ABASTECIMIENTO;2022/04;Ejecutado;70251945,06
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;COMPRAS Y ABASTECIMIENTO;2022/05;Ejecutado;81843110,33
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;COMPRAS Y ABASTECIMIENTO;2022/06;Ejecutado;92823098,54
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;COMPRAS Y ABASTECIMIENTO;2022/07;Ejecutado;78571933,86
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;COMPRAS Y ABASTECIMIENTO;2022/08;Ejecutado;84772785,19
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;COMPRAS Y ABASTECIMIENTO;2022/09;Ejecutado;81509420,07
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;COMPRAS Y ABASTECIMIENTO;2022/10;Ejecutado;72324460,78
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;COMPRAS Y ABASTECIMIENTO;2022/11;Ejecutado;76329099
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;COMPRAS Y ABASTECIMIENTO;2022/12;Ejecutado;205796620
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;FINANZAS;2022/01;Ejecutado;97794177,53
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;FINANZAS;2022/02;Ejecutado;71507465,39
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;FINANZAS;2022/03;Ejecutado;74150885,56
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;FINANZAS;2022/04;Ejecutado;102355971,6
